Percentage,Handling (H),Crops (C),Livestock (L),Wild Crops (W)
38.067,,C,,
31.187,H,,,
15.912,H,C,,
10.243,,C,L,
2.23,,,L,
1.102,H,C,L,
0.355,H,,,W
0.249,,,,W
0.215,H,,L,
0.191,,C,,W
0.175,H,C,,W
0.04,,C,L,W
0.029,H,C,L,W
0.002,H,,L,W
